iter	MultiClass
0	2.855506531
1	2.708018632
2	2.512427785
3	2.368105454
4	2.249918848
5	2.121844735
6	2.016919748
7	1.932404453
8	1.855589023
9	1.784992408
10	1.736690496
11	1.680007696
12	1.616204532
13	1.565648813
14	1.515971925
15	1.46925738
16	1.430138107
17	1.386275174
18	1.356186661
19	1.318874106
20	1.284547907
21	1.249443123
22	1.218628196
23	1.190262048
24	1.162183836
25	1.13665695
26	1.113761936
27	1.088164957
28	1.066516997
29	1.041390503
30	1.025253989
31	1.005269166
32	0.9843354872
33	0.9677346278
34	0.9485568115
35	0.9310745593
36	0.9197201516
37	0.9072589568
38	0.8922176746
39	0.8768787577
40	0.8646751841
41	0.8514503192
42	0.8379973107
43	0.8290458098
44	0.8169992475
45	0.8051347943
46	0.7958208046
47	0.7852986692
48	0.7763393386
49	0.7668139053
50	0.7578804155
51	0.7515946433
52	0.7449158225
53	0.7368095677
54	0.7282631329
55	0.7202974308
56	0.7117441611
57	0.7046132785
58	0.6977957247
59	0.6913121213
60	0.6843411186
61	0.6785049459
62	0.6718138922
63	0.6675279444
64	0.6629048203
65	0.657474783
66	0.6515846157
67	0.6471307011
68	0.6425075796
69	0.638653596
70	0.6342906031
71	0.6298434248
72	0.625120086
73	0.6205334836
74	0.6160958918
75	0.6117816221
76	0.606649242
77	0.6022886781
78	0.598775237
79	0.5950439472
80	0.5916144465
81	0.5877596076
82	0.5841978629
83	0.580695706
84	0.5772738931
85	0.5747488114
86	0.572786499
87	0.5700422693
88	0.5664962134
89	0.5640397079
90	0.5615403993
91	0.5583699618
92	0.5558391918
93	0.55313359
94	0.5502568777
95	0.5488368263
96	0.5468487381
97	0.5432963164
98	0.5406368279
99	0.5375452498
