iter	Passed	Remaining
0	119	11817
1	129	6351
2	139	4507
3	149	3580
4	157	2997
5	165	2594
6	173	2309
7	181	2087
8	189	1914
9	196	1772
10	204	1652
11	211	1552
12	219	1468
13	226	1392
14	234	1326
15	241	1270
16	249	1220
17	257	1172
18	265	1131
19	273	1093
20	281	1058
21	289	1025
22	297	995
23	305	966
24	313	940
25	321	914
26	329	889
27	336	865
28	344	843
29	352	821
30	359	801
31	367	781
32	374	760
33	381	741
34	390	724
35	397	707
36	405	689
37	412	673
38	420	657
39	427	641
40	434	625
41	441	610
42	449	595
43	457	581
44	464	568
45	472	554
46	479	540
47	487	527
48	494	514
49	502	502
50	509	489
51	517	477
52	525	466
53	533	454
54	541	443
55	548	431
56	556	419
57	563	408
58	571	397
59	578	385
60	586	374
61	594	364
62	601	353
63	608	342
64	616	332
65	624	321
66	631	311
67	638	300
68	645	290
69	652	279
70	660	269
71	667	259
72	674	249
73	682	239
74	690	230
75	697	220
76	705	210
77	712	200
78	720	191
79	727	181
80	735	172
81	743	163
82	750	153
83	758	144
84	766	135
85	773	125
86	780	116
87	788	107
88	795	98
89	802	89
90	809	80
91	816	71
92	823	62
93	830	53
94	838	44
95	845	35
96	852	26
97	860	17
98	867	8
99	874	0
